D = 1;
n = [ 9 ];
N = 15;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ];
m = [
    [ 1 0.97 1 1 1 0.69 0.68 0.41 0.9 0.49 0.25 0.6 0.61 0.47 0.91 ]
    [ 0.97 1 1 1 1 0.47 0.68 0.92 0.72 0.69 0.34 0 0.55 0.96 0.6 ]
    [ 1 1 1 1 0.97 0.84 0 1 0.4 1 0.23 0.98 0.65 1 0.76 ]
    [ 1 1 1 1 0.37 0.25 1 0.92 0.94 0.2 0.96 0.64 0.87 0.69 0.65 ]
    [ 1 1 0.97 0.37 1 1 0.88 0.79 0.23 1 0.92 0.94 0.68 1 0.29 ]
    [ 0.69 0.47 0.84 0.25 1 1 0.41 0.75 0.35 0.62 0.63 0.97 0.91 0.9 0.35 ]
    [ 0.68 0.68 0 1 0.88 0.41 1 0.32 0.26 0.21 0.18 0.61 0.52 0.54 0.17 ]
    [ 0.41 0.92 1 0.92 0.79 0.75 0.32 1 0.52 0.44 1 0.43 0.76 0.44 0.59 ]
    [ 0.9 0.72 0.4 0.94 0.23 0.35 0.26 0.52 1 0.33 0.19 0.64 0 0.31 0 ]
    [ 0.49 0.69 1 0.2 1 0.62 0.21 0.44 0.33 1 0.38 0.3 0.97 1 0.51 ]
    [ 0.25 0.34 0.23 0.96 0.92 0.63 0.18 1 0.19 0.38 1 0.98 0.28 0.82 0.93 ]
    [ 0.6 0 0.98 0.64 0.94 0.97 0.61 0.43 0.64 0.3 0.98 1 0.52 0.33 0.39 ]
    [ 0.61 0.55 0.65 0.87 0.68 0.91 0.52 0.76 0 0.97 0.28 0.52 1 1 0.33 ]
    [ 0.47 0.96 1 0.69 1 0.9 0.54 0.44 0.31 1 0.82 0.33 1 1 0.72 ]
    [ 0.91 0.6 0.76 0.65 0.29 0.35 0.17 0.59 0 0.51 0.93 0.39 0.33 0.72 1 ]
];

